120
186122023C111|022222222222|02222222222|22/12/2004|1|Nguyen Minh Phuc
154122023B228|033333333333|03333333333|22/12/2004|0|Nguyen Thanh Trung
216122023B203|070707070707|07070707070|22/12/2004|0|Le Trung Phong
154122023C106|044444444444|04444444444|22/12/2004|0|Le Nguyen Ai Tran
2311122023C119|060606060606|06060606060|22/12/2004|0|Dao Le Hanh Nguyen
217122023C131|050505050505|05050505050|22/12/2004|0|Nguyen Thi Quynh Nhi
217122023B215|030303030303|03030303030|22/12/2004|0|Vo Thanh Tu
189122023C103|012312312312|01212111111|22/12/2004|0|Vo Thi Quynh Nga
189122023C108|098989898989|09898989898|22/12/2004|0|Nguyen Che Dinh
199122023C117|098787657654|01110100101|22/12/2004|0|Nguyen Trieu Huy
199122023A301|076767676767|07676767676|22/12/2004|0|Nguyen Minh Phuc
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
0|0|0|0/0/0|0|0
